max_contraction_pct,atr_percentile_thresh,breakout_volume_ratio,num_trades,median_return,avg_return,win_rate,worst_drawdown
50,60,0.7,17,5.837882134783815,10.296252954058888,0.98,9.573438984896422
50,60,0.8,16,5.706826480489887,9.324835483219232,0.966,9.160743814534612
50,60,1.0,15,11.27843863938535,18.308455520075068,0.995,12.302473548738407
50,70,0.7,19,8.715863601394455,14.978479460628549,0.992,10.751472672460714
50,70,0.8,18,9.795486631620918,15.38434847796763,0.99,12.043696636206004
50,70,1.0,17,10.326953462306417,18.157698548036475,0.998,13.176953714194902
50,80,0.7,22,11.29587799065857,28.235262509583386,0.975,29.810113223582523
50,80,0.8,21,11.709064187983838,26.71864954008553,0.962,29.01629846839109
50,80,1.0,20,18.44382897851972,42.90117437565784,0.992,40.91808506160759
55,60,0.7,17,6.28612003720508,10.206010480034744,0.971,8.575081834531389
55,60,0.8,16,5.691147000646662,10.211429567821675,0.974,9.268331901393383
55,60,1.0,15,11.648117239218916,19.080662529969484,0.993,11.047880455478621
55,70,0.7,19,8.726489315098032,14.132175481098923,0.995,10.067639959268337
55,70,0.8,18,9.40550521556856,14.875055381340262,0.99,10.859084859688869
55,70,1.0,17,11.105954647327,18.221044008985444,0.995,11.373363710867691
55,80,0.7,22,12.085197005761291,25.657719670455343,0.976,26.370534341529186
55,80,0.8,21,11.552175159316654,26.549664108322656,0.977,32.11453806586407
55,80,1.0,20,18.155785893290606,43.69241632485906,0.996,40.81236182737446
60,60,0.7,17,5.611432515713848,9.951228930089849,0.982,8.02780375404676
60,60,0.8,16,5.813193595830667,9.581153589317742,0.978,8.666085879562486
60,60,1.0,15,11.68534721724366,19.8628332565618,1.0,12.47326960059598
60,70,0.7,19,8.98265885801111,15.127216067042372,0.992,11.02677438457101
60,70,0.8,18,9.032334921789413,16.055094775031254,0.986,10.621490324005972
60,70,1.0,17,10.502722681705926,17.08116766068873,0.995,12.088530415939582
60,80,0.7,22,11.198820899502651,26.947974447737494,0.974,29.467790178910786
60,80,0.8,21,11.172258886195419,28.885589716230932,0.98,32.73177798918605
60,80,1.0,20,18.707052862996065,40.493438608532145,0.989,41.3628323199259
