max_contraction_pct,atr_percentile_thresh,breakout_volume_ratio,num_trades,median_return,avg_return,win_rate,worst_drawdown
50,60,0.7,16,-0.17579554104736927,166.58958770982818,0.469,71.83397508034443
50,60,0.8,16,-0.16892485228044685,21.09973312802182,0.464,57.50778430290802
50,60,1.0,16,0.04876986793963867,115.59900868930126,0.509,86.1439004756799
50,70,0.7,18,1.6235640769355357,68.91939926453915,0.676,153.10761294062834
50,70,0.8,18,1.2778781358346127,44.678714134436404,0.635,114.38593185725074
50,70,1.0,17,0.2086806726333189,48.00356970252043,0.533,75.25330921582773
50,80,0.7,23,0.2754178196498226,28.25479937883519,0.544,47.725794790575
50,80,0.8,23,0.43291663685180304,26.121316784098067,0.566,75.63040575887597
50,80,1.0,23,0.0997151819131975,38.01021546239773,0.52,42.236485011064644
55,60,0.7,16,-0.20428565657182002,21.102809056139947,0.461,57.46240972755094
55,60,0.8,16,-0.07600714399719605,67.65190531559207,0.493,84.72868521964483
55,60,1.0,16,0.12215869250985922,23.776351567795142,0.512,91.7379225237208
55,70,0.7,18,1.338944224252401,35.45977282940012,0.638,101.79200766683225
55,70,0.8,18,0.8875417346625215,74.86760193729765,0.625,105.96533796367717
55,70,1.0,17,0.06866001947439204,28.09777865390516,0.51,97.77798894653696
55,80,0.7,23,0.4236230482020962,16.473089932532467,0.566,54.322221475491
55,80,0.8,23,0.38374871703812363,30.082785775708643,0.553,52.996276782244294
55,80,1.0,23,0.34984044524825997,22.03885242263017,0.555,55.72746472756836
60,60,0.7,16,-0.1564948937710105,24.22965779082628,0.477,73.85274015324437
60,60,0.8,16,-0.09846478845103279,224.30525882875162,0.486,88.64508667724274
60,60,1.0,16,0.07818374852327259,39.27773036461824,0.511,126.02370082319833
60,70,0.7,18,1.209166016126573,57.95334972856605,0.637,110.52062591932382
60,70,0.8,18,1.1238204525404245,42.748359954375616,0.626,117.38030807618452
60,70,1.0,17,0.17684412982836695,18.74539918335211,0.527,88.13933494678153
60,80,0.7,23,0.27035167158488516,14.337856890836093,0.538,43.46368444644284
60,80,0.8,23,0.4487157862889388,11.57203768728356,0.56,43.99184946688281
60,80,1.0,23,0.12548671137158618,31.20488733704531,0.524,68.94440822323963
