max_contraction_pct,atr_percentile_thresh,breakout_volume_ratio,num_trades,median_return,avg_return,win_rate,worst_drawdown
50,60,0.7,17,5.595722465637564,9.82065868825866,0.975,8.862949255019469
50,60,0.8,16,5.267351045008996,10.301349991828229,0.972,9.476762260228057
50,60,1.0,15,11.447429464149725,18.050113079927392,0.999,12.525988500679748
50,70,0.7,19,8.522562781054338,14.890511051784523,0.991,10.505787859152264
50,70,0.8,18,9.862527716463308,15.506523368643395,0.993,11.634208559544634
50,70,1.0,17,10.473628021008206,18.69546671258266,0.994,11.453578524689243
50,80,0.7,22,10.674751259776013,24.62016373110738,0.979,26.162958828344593
50,80,0.8,21,10.705907838907683,26.698150135751785,0.967,28.294667364298373
50,80,1.0,20,19.476834552937284,42.971088049445754,0.996,38.95357419267734
55,60,0.7,17,5.682138813640959,9.769881060054045,0.975,9.108413037083492
55,60,0.8,16,5.365367334479201,9.49790663925945,0.97,9.58425373969093
55,60,1.0,15,11.490223972655821,18.021622181665727,0.995,11.036799488801153
55,70,0.7,19,9.205986826282519,14.990827929913591,0.994,10.771655180589061
55,70,0.8,18,9.12088595966691,15.562268789714558,0.99,10.94660949761673
55,70,1.0,17,11.570968429690023,18.988427534504606,0.996,14.663165750724627
55,80,0.7,22,10.382046609703243,24.883039015390104,0.976,25.118812218147593
55,80,0.8,21,10.406496904489984,26.93567587216821,0.976,30.469702300993358
55,80,1.0,20,18.281913554546158,42.54922346585397,0.994,42.62912272007807
60,60,0.7,17,5.874450113894515,9.827784017283955,0.972,8.910799130235885
60,60,0.8,16,5.440125169323274,9.72097000861408,0.969,8.251112815866382
60,60,1.0,15,11.716832922246589,18.84707363229008,0.997,11.584434817958861
60,70,0.7,19,9.020524134111412,15.103716000137435,0.99,11.680612780326923
60,70,0.8,18,8.195082166550561,14.774428996762722,0.983,10.123034028393963
60,70,1.0,17,11.399782677411531,18.314437734941546,0.998,13.438737573057715
60,80,0.7,22,11.157595505255284,29.585328321660036,0.98,31.24176592814394
60,80,0.8,21,10.255527884041378,23.61516431945117,0.973,24.77703121829076
60,80,1.0,20,19.052533712583422,42.49559076689671,0.993,38.39661092827683
